,Nome do Buteco,Endereço,Latitude,Longitude,Unnamed: 4,Logradouro,Número,chave_endereco_buteco,match_endereco,Match,match_termo_manual,Comida de Boteco
0,Alexandre’s Bar,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG",-19.8634011,-43.9441692,,DAVID ALVES DO VALE,68,DAVID ALVES DO VALE_68,True,1,,1
1,Amarelim do Prado,"Avenida Francisco Sá, 658 | Prado, Belo Horizonte - MG",-19.9280595,-43.959751,,FRANCISCO SA,658,FRANCISCO SA_658,True,1,,1
2,Andrade’s Beer,"Rua Dona Geni, 32 |  Belo Horizonte - MG",-19.8037827,-43.9961213,,DONA GENI,32,DONA GENI_32,True,1,,1
3,Arcos Bar,"Rua da Bahia, 1144 | Centro, Belo Horizonte - MG",-19.9258695,-43.9376996,,DA BAHIA,1144,DA BAHIA_1144,True,1,,1
4,Armazém Santa Amélia,"Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",-19.8325573,-43.9724063,,DA SINFONIA,253,DA SINFONIA_253,True,1,,1
5,Avalanche Espeteria,"Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte - MG",-19.8283385,-43.9620701,0.0,DOUTOR ALVARO CAMARGOS,1113,DOUTOR ALVARO CAMARGOS_1113,True,1,,1
6,Azougue Fogo e Bar,"Rua do Ouro, 835 | Serra, Belo Horizonte - MG",-19.9403611,-43.9200245,,DO OURO,835,DO OURO_835,True,1,,1
7,Baiuca,"Rua Piauí, 1884 | Funcionários, Belo Horizonte - MG",-19.9343945,-43.9276279,,PIAUI,1884,PIAUI_1884,True,1,,1
8,Bar Bambú,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte - MG",-19.9440127,-43.9840632,,DIVISA NOVA,670,DIVISA NOVA_670,True,1,,1
9,Bar Bendita Baderna,"Rua Silva Fortes, 47 | União, Belo Horizonte - MG",-19.8811789,-43.9272578,,SILVA FORTES,47,SILVA FORTES_47,True,1,,1
10,Bar da Cíntia,"Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG",-19.8168676,-43.9694756,,PASTOR RUI FRANCO,257,PASTOR RUI FRANCO_257,True,1,,1
